,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,0.0,157.41,152.95,146.2,150.04,150.48,169.6,140.23,138.66,156.76,151.04,117.88,144.73,127.08,149.41,102.9,112.73,112.29,113.59,99.05
comp.graphics,157.42,0.0,111.09,110.32,114.81,107.3,133.19,145.04,152.44,173.22,166.38,135.21,124.15,148.36,146.92,159.46,160.18,164.09,158.29,159.7
comp.os.ms-windows.misc,152.85,111.05,0.0,104.62,109.35,105.09,130.8,134.72,144.42,170.87,157.78,128.14,124.94,141.19,146.16,154.5,149.01,156.0,148.75,153.91
comp.sys.ibm.pc.hardware,146.23,110.28,104.53,0.0,98.05,109.41,122.28,125.52,136.1,164.32,153.65,119.8,111.83,133.95,137.12,149.56,141.1,149.16,141.3,148.15
comp.sys.mac.hardware,150.02,114.78,109.44,97.94,0.0,113.99,124.83,127.29,137.67,167.5,155.65,122.16,113.87,135.88,139.58,151.73,144.16,152.13,143.43,151.05
comp.windows.x,150.44,107.28,105.09,109.38,114.02,0.0,138.97,145.35,151.12,175.07,169.84,128.14,124.58,146.09,144.51,152.36,156.49,159.99,156.17,152.03
misc.forsale,169.48,133.14,130.86,122.13,124.76,138.98,0.0,137.54,147.16,168.06,162.38,146.08,130.19,153.28,150.52,170.33,159.71,166.91,157.1,169.57
rec.autos,140.35,145.2,135.09,125.63,127.44,145.46,137.7,0.0,109.42,151.08,143.16,128.74,128.38,132.22,137.34,146.82,121.51,136.14,127.23,143.34
rec.motorcycles,138.7,152.49,144.55,136.2,137.7,151.08,147.14,109.32,0.0,151.7,141.97,132.67,132.63,127.85,142.08,146.96,120.99,138.86,127.59,142.23
rec.sport.baseball,156.85,172.94,170.77,164.27,167.42,175.12,167.95,150.93,151.75,0.0,134.9,157.2,161.77,154.91,162.23,159.36,145.57,148.94,140.06,157.65
rec.sport.hockey,151.14,166.57,157.91,153.76,155.95,169.89,162.52,143.2,142.12,134.99,0.0,147.03,155.49,146.89,157.17,153.33,135.79,140.11,135.17,152.18
sci.crypt,117.83,135.49,128.23,119.89,122.35,128.26,146.13,128.71,132.65,157.21,146.89,0.0,121.74,125.56,139.31,130.88,110.09,123.54,114.07,125.81
sci.electronics,144.73,124.2,124.86,111.88,113.87,124.62,130.23,128.33,132.58,161.8,155.27,121.75,0.0,134.11,134.68,148.85,139.26,150.61,141.25,146.28
sci.med,127.12,148.57,141.37,134.01,136.08,146.19,153.43,132.26,127.86,154.91,146.83,125.59,134.23,0.0,144.08,131.34,119.78,128.94,120.63,130.05
sci.space,149.41,147.02,146.1,137.16,139.88,144.46,150.54,137.26,142.09,162.3,157.23,139.32,134.75,144.09,0.0,157.27,141.08,149.64,138.31,153.72
soc.religion.christian,102.92,159.5,154.53,149.61,151.8,152.53,170.38,146.85,146.94,159.46,153.39,130.93,148.92,131.26,157.26,0.0,128.44,123.77,124.51,97.38
talk.politics.guns,112.73,160.25,149.01,141.13,144.23,156.66,159.7,121.6,121.09,145.56,135.77,110.25,139.28,119.91,141.21,128.45,0.0,108.32,102.47,118.97
talk.politics.mideast,112.32,164.27,156.02,149.2,152.19,160.02,167.07,136.08,138.93,148.93,140.08,123.55,150.61,129.1,149.62,123.95,108.35,0.0,111.19,115.26
talk.politics.misc,113.54,157.66,148.79,141.61,143.46,156.14,157.11,127.24,127.48,140.17,135.09,114.17,141.3,120.61,138.32,124.54,102.39,111.19,0.0,119.6
talk.religion.misc,99.04,159.66,153.91,148.21,151.12,152.0,169.49,143.34,142.2,157.7,152.09,125.79,146.34,130.03,153.76,97.41,118.8,115.05,119.48,0.0
